event_idx,disaster_id,municipality,date,thr_hs_pct,thr_ssh_pct,captured,lag_from_event_day,hs_at_capture,ssh_total_at_capture,capture_time,n_admissible,n_compound,coastal_sector
19,11,Bombinhas,2005-08-09,0.7,0.6,True,-1.0,1.709999918937683,0.6508776694536209,2005-08-08,4,3,Central
20,11,Barra Velha,2005-08-09,0.7,0.6,True,-1.0,1.6200000047683716,0.7892888188362122,2005-08-08,4,3,Central
21,12,Itajaí,2006-04-24,0.7,0.6,False,,,,,4,0,Central-north
22,14,Florianópolis,2010-05-13,0.7,0.6,True,-2.0,2.1499998569488525,0.42883285880088806,2010-05-11,4,4,Central
23,14,Barra Velha,2010-05-13,0.7,0.6,True,-2.0,1.9799998998641968,0.6331127882003784,2010-05-11,4,4,Central
24,15,Balneário Barra do Sul,2010-05-28,0.7,0.6,True,-1.0,1.75,0.7416976243257523,2010-05-27,4,2,North
25,16,Navegantes,2010-06-01,0.7,0.6,True,0.0,1.659999966621399,0.6876413226127625,2010-06-01,4,1,Central-north
26,17,Garopaba,2010-06-09,0.7,0.6,False,,,,,4,0,South
27,18,Florianópolis,2010-06-24,0.7,0.6,False,,,,,4,0,Central
28,19,Florianópolis,2010-07-16,0.7,0.6,True,1.0,1.6799999475479126,0.5074675381183624,2010-07-17,4,1,Central
29,20,Balneário Piçarras,2010-09-23,0.7,0.6,True,0.0,1.5199999809265137,0.6496991198509932,2010-09-23,4,2,Central-north
30,21,Bombinhas,2010-09-28,0.7,0.6,False,,,,,4,0,Central-north
31,24,Balneário Piçarras,2011-01-23,0.7,0.6,False,,,,,4,0,Central-north
32,25,Navegantes,2011-05-03,0.7,0.6,True,0.0,1.7400000095367432,0.9249342083930969,2011-05-03,4,2,Central-north
33,26,Barra Velha,2011-05-29,0.7,0.6,True,-1.0,1.6299999952316284,0.6208665668964386,2011-05-28,4,2,North
34,27,Penha,2011-06-04,0.7,0.6,True,0.0,1.459999918937683,0.8954178690910339,2011-06-04,4,2,Central-north
35,28,Balneário Barra do Sul,2012-01-27,0.7,0.6,True,-2.0,1.3799999952316284,0.6061643920838833,2012-01-25,4,3,North
36,29,Balneário Barra do Sul,2015-07-27,0.7,0.6,False,,,,,4,0,North
37,30,Balneário Barra do Sul,2015-08-18,0.7,0.6,True,-2.0,1.3700000047683716,0.6975406929850578,2015-08-16,4,1,North
38,31,Balneário Barra do Sul,2016-07-01,0.7,0.6,False,,,,,4,0,North
39,32,Florianópolis,2016-09-15,0.7,0.6,True,-1.0,1.7699999809265137,0.49064844846725464,2016-09-14,4,3,Central
40,32,Porto Belo,2016-09-15,0.7,0.6,True,-1.0,1.5399999618530273,0.565626434981823,2016-09-14,4,2,Central
41,34,Balneário Barra do Sul,2016-12-12,0.7,0.6,False,,,,,4,0,North
42,35,Balneário Barra do Sul,2017-03-25,0.7,0.6,False,,,,,4,0,North
43,36,Balneário Barra do Sul,2017-05-02,0.7,0.6,False,,,,,4,0,North
44,37,Balneário Barra do Sul,2017-05-21,0.7,0.6,False,,,,,4,0,North
45,38,Florianópolis,2017-05-22,0.7,0.6,True,1.0,2.299999952316284,0.43489816784858704,2017-05-23,4,1,Central
46,38,Barra Velha,2017-05-22,0.7,0.6,True,1.0,2.1599998474121094,0.6982354819774628,2017-05-23,4,1,Central
47,39,Itapoá,2017-08-15,0.7,0.6,False,,,,,4,0,North
48,40,Balneário Barra do Sul,2017-08-26,0.7,0.6,False,,,,,4,0,North
49,41,Navegantes,2017-09-07,0.7,0.6,True,-2.0,1.9399999380111694,0.6348292976617813,2017-09-05,4,2,Central-north
50,42,Balneário Barra do Sul,2017-09-09,0.7,0.6,False,,,,,4,0,North
51,43,Florianópolis,2017-09-13,0.7,0.6,False,,,,,4,0,Central
52,43,Barra Velha,2017-09-13,0.7,0.6,False,,,,,4,0,Central
53,44,Navegantes,2017-09-16,0.7,0.6,True,0.0,1.8799999952316284,0.5290719270706177,2017-09-16,4,2,Central-north
54,45,Balneário Barra do Sul,2017-09-18,0.7,0.6,True,-1.0,1.559999942779541,0.6504671424627304,2017-09-17,4,2,North
55,46,Itapema,2017-09-30,0.7,0.6,False,,,,,4,0,Central-north
56,47,Garopaba,2017-10-01,0.7,0.6,False,,,,,4,0,Central-south
57,48,São Francisco do Sul,2017-10-07,0.7,0.6,True,0.0,1.1200000047683716,0.8339086323976517,2017-10-07,4,2,North
58,49,Bombinhas,2017-12-10,0.7,0.6,False,,,,,4,0,Central-north
59,50,São Francisco do Sul,2017-12-11,0.7,0.6,False,,,,,4,0,North
60,51,Araquari,2017-12-17,0.7,0.6,True,1.0,1.5,0.6768755912780762,2017-12-18,4,1,North
61,52,Porto Belo,2018-04-14,0.7,0.6,True,-1.0,1.3299999237060547,0.5338769853115082,2018-04-13,4,3,Central-north
62,53,Itapoá,2018-05-21,0.7,0.6,True,-1.0,1.2599999904632568,0.72031569480896,2018-05-20,4,2,North
63,54,Itapoá,2018-06-15,0.7,0.6,True,-1.0,1.0799999237060547,1.1304882168769836,2018-06-14,4,2,North
64,55,Balneário Barra do Sul,2018-07-07,0.7,0.6,False,,,,,4,0,North
65,56,Balneário Camboriú,2018-09-18,0.7,0.6,False,,,,,4,0,Central-north
66,57,Itapoá,2018-09-19,0.7,0.6,False,,,,,4,0,North
67,58,Itapoá,2018-10-08,0.7,0.6,False,,,,,4,0,North
68,60,Balneário Barra do Sul,2018-12-03,0.7,0.6,True,0.0,1.9399999380111694,0.8145846724510193,2018-12-03,4,1,North
69,61,Balneário Camboriú,2019-03-21,0.7,0.6,True,-2.0,1.8399999141693115,0.5837300084531307,2019-03-19,4,4,Central-north
70,61,Barra Velha,2019-03-22,0.7,0.6,True,-2.0,1.899999976158142,0.9734940230846405,2019-03-20,4,4,Central-north
71,62,Balneário Barra do Sul,2019-03-27,0.7,0.6,False,,,,,4,0,North
72,63,Balneário Barra do Sul,2019-06-13,0.7,0.6,False,,,,,4,0,North
73,64,Itapoá,2019-07-21,0.7,0.6,False,,,,,4,0,North
74,65,Balneário Piçarras,2019-07-22,0.7,0.6,False,,,,,4,0,Central-north
75,66,Balneário Barra do Sul,2019-07-29,0.7,0.6,True,-1.0,1.5099999904632568,0.5986641645431519,2019-07-28,4,1,North
76,67,Itapoá,2019-08-04,0.7,0.6,True,-2.0,1.7400000095367432,0.9045427590608597,2019-08-02,4,2,North
77,68,São Francisco do Sul,2019-08-15,0.7,0.6,True,-2.0,1.2200000286102295,0.8481352627277374,2019-08-13,4,2,North
78,69,Navegantes,2019-09-19,0.7,0.6,True,-2.0,1.5299999713897705,0.5830119475722313,2019-09-17,4,1,Central-north
79,72,Balneário Camboriú,2020-03-03,0.7,0.6,False,,,,,4,0,Central-north
80,73,Balneário Rincão,2020-04-03,0.7,0.6,True,0.0,4.309999942779541,0.7856495976448059,2020-04-03,4,2,South
81,73,Florianópolis,2020-04-04,0.7,0.6,True,-1.0,2.3399999141693115,0.6392042338848114,2020-04-03,4,3,South
82,73,Porto Belo,2020-04-04,0.7,0.6,True,-1.0,1.3299999237060547,0.6248695850372314,2020-04-03,4,3,South
83,74,Porto Belo,2020-04-08,0.7,0.6,True,-1.0,1.6399999856948853,0.811431348323822,2020-04-07,4,3,Central-north
84,74,Balneário Barra do Sul,2020-04-08,0.7,0.6,True,-2.0,1.3299999237060547,0.7468327432870865,2020-04-06,4,3,Central-north
85,74,Balneário Rincão,2020-04-08,0.7,0.6,True,-2.0,2.309999942779541,0.4703739583492279,2020-04-06,4,4,Central-north
86,75,Itapoá,2020-04-09,0.7,0.6,True,-2.0,1.309999942779541,1.1070118844509125,2020-04-07,4,4,North
87,76,Barra Velha,2020-04-12,0.7,0.6,True,-1.0,1.6699999570846558,0.7492413818836212,2020-04-11,4,1,North
88,77,Balneário Camboriú,2020-05-07,0.7,0.6,True,-1.0,1.6200000047683716,0.7461950033903122,2020-05-06,4,2,Central-north
89,78,Bombinhas,2020-06-30,0.7,0.6,False,,,,,4,0,Central-north
90,79,Balneário Barra do Sul,2020-06-30,0.7,0.6,False,,,,,4,0,North
0,1,São Francisco do Sul,1998-02-15,0.7,0.65,False,,,,,4,0,North
1,2,Balneário Piçarras,1998-09-19,0.7,0.65,True,0.0,2.0899999141693115,0.8253957033157349,1998-09-19,4,2,Central-north
2,3,Itapoá,2000-08-10,0.7,0.65,True,1.0,1.2699999809265137,0.7755574584007263,2000-08-11,4,1,North
3,4,Balneário Camboriú,2001-05-05,0.7,0.65,True,0.0,1.5499999523162842,0.8199690878391266,2001-05-05,4,2,Central-north
4,4,Itapoá,2001-05-05,0.7,0.65,True,-1.0,1.159999966621399,0.9036467671394348,2001-05-04,4,3,Central-north
5,5,Bombinhas,2001-05-06,0.7,0.65,True,-2.0,1.3399999141693115,0.6966710090637207,2001-05-04,4,4,Central-north
6,5,Navegantes,2001-05-06,0.7,0.65,True,-1.0,1.5499999523162842,0.8199690878391266,2001-05-05,4,3,Central-north
7,5,Balneário Barra do Sul,2001-05-06,0.7,0.65,True,-2.0,1.4399999380111694,0.826180100440979,2001-05-04,4,4,Central-north
8,5,Barra Velha,2001-05-06,0.7,0.65,True,-2.0,1.4399999380111694,0.826180100440979,2001-05-04,4,4,Central-north
9,6,Barra Velha,2001-05-22,0.7,0.65,True,1.0,1.8499999046325684,0.7096967771649361,2001-05-23,4,1,North
10,7,Balneário Camboriú,2002-09-21,0.7,0.65,True,0.0,2.8899998664855957,0.7612097263336182,2002-09-21,4,1,Central-north
11,8,Içara/Balneário Rincão,2004-03-27,0.7,0.65,False,,,,,4,0,South
12,9,Florianópolis,2004-03-28,0.7,0.65,False,,,,,4,0,Central
13,9,Araranguá,2004-03-28,0.7,0.65,False,,,,,4,0,Central
14,9,Balneário Arroio do Silva,2004-03-28,0.7,0.65,False,,,,,4,0,Central
15,9,Balneário Gaivota,2004-03-28,0.7,0.65,False,,,,,4,0,Central
16,9,Passo de Torres,2004-03-28,0.7,0.65,False,,,,,4,0,Central
17,10,Itajaí,2005-08-08,0.7,0.65,True,0.0,1.8199999332427979,0.6696929037570953,2005-08-08,4,2,Central-north
18,11,Palhoça,2005-08-09,0.7,0.65,True,-1.0,1.9299999475479126,0.5696218609809875,2005-08-08,4,3,Central
19,11,Bombinhas,2005-08-09,0.7,0.65,True,-1.0,1.709999918937683,0.6508776694536209,2005-08-08,4,3,Central
20,11,Barra Velha,2005-08-09,0.7,0.65,True,-1.0,1.6200000047683716,0.7892888188362122,2005-08-08,4,3,Central
21,12,Itajaí,2006-04-24,0.7,0.65,False,,,,,4,0,Central-north
22,14,Florianópolis,2010-05-13,0.7,0.65,True,-2.0,2.1499998569488525,0.42883285880088806,2010-05-11,4,4,Central
23,14,Barra Velha,2010-05-13,0.7,0.65,True,-2.0,1.9799998998641968,0.6331127882003784,2010-05-11,4,3,Central
24,15,Balneário Barra do Sul,2010-05-28,0.7,0.65,True,-1.0,1.75,0.7416976243257523,2010-05-27,4,2,North
25,16,Navegantes,2010-06-01,0.7,0.65,True,0.0,1.659999966621399,0.6876413226127625,2010-06-01,4,1,Central-north
26,17,Garopaba,2010-06-09,0.7,0.65,False,,,,,4,0,South
27,18,Florianópolis,2010-06-24,0.7,0.65,False,,,,,4,0,Central
28,19,Florianópolis,2010-07-16,0.7,0.65,True,1.0,1.6799999475479126,0.5074675381183624,2010-07-17,4,1,Central
29,20,Balneário Piçarras,2010-09-23,0.7,0.65,True,0.0,1.5199999809265137,0.6496991198509932,2010-09-23,4,2,Central-north
30,21,Bombinhas,2010-09-28,0.7,0.65,False,,,,,4,0,Central-north
31,24,Balneário Piçarras,2011-01-23,0.7,0.65,False,,,,,4,0,Central-north
32,25,Navegantes,2011-05-03,0.7,0.65,True,0.0,1.7400000095367432,0.9249342083930969,2011-05-03,4,2,Central-north
33,26,Barra Velha,2011-05-29,0.7,0.65,True,-1.0,1.6299999952316284,0.6208665668964386,2011-05-28,4,1,North
34,27,Penha,2011-06-04,0.7,0.65,True,0.0,1.459999918937683,0.8954178690910339,2011-06-04,4,2,Central-north
35,28,Balneário Barra do Sul,2012-01-27,0.7,0.65,True,-1.0,1.7799999713897705,0.7958666682243347,2012-01-26,4,2,North
36,29,Balneário Barra do Sul,2015-07-27,0.7,0.65,False,,,,,4,0,North
37,30,Balneário Barra do Sul,2015-08-18,0.7,0.65,True,-2.0,1.3700000047683716,0.6975406929850578,2015-08-16,4,1,North
38,31,Balneário Barra do Sul,2016-07-01,0.7,0.65,False,,,,,4,0,North
39,32,Florianópolis,2016-09-15,0.7,0.65,True,-1.0,1.7699999809265137,0.49064844846725464,2016-09-14,4,3,Central
40,32,Porto Belo,2016-09-15,0.7,0.65,True,-1.0,1.5399999618530273,0.565626434981823,2016-09-14,4,2,Central
41,34,Balneário Barra do Sul,2016-12-12,0.7,0.65,False,,,,,4,0,North
42,35,Balneário Barra do Sul,2017-03-25,0.7,0.65,False,,,,,4,0,North
43,36,Balneário Barra do Sul,2017-05-02,0.7,0.65,False,,,,,4,0,North
44,37,Balneário Barra do Sul,2017-05-21,0.7,0.65,False,,,,,4,0,North
45,38,Florianópolis,2017-05-22,0.7,0.65,True,1.0,2.299999952316284,0.43489816784858704,2017-05-23,4,1,Central
46,38,Barra Velha,2017-05-22,0.7,0.65,True,1.0,2.1599998474121094,0.6982354819774628,2017-05-23,4,1,Central
47,39,Itapoá,2017-08-15,0.7,0.65,False,,,,,4,0,North
48,40,Balneário Barra do Sul,2017-08-26,0.7,0.65,False,,,,,4,0,North
49,41,Navegantes,2017-09-07,0.7,0.65,True,-2.0,1.9399999380111694,0.6348292976617813,2017-09-05,4,2,Central-north
50,42,Balneário Barra do Sul,2017-09-09,0.7,0.65,False,,,,,4,0,North
51,43,Florianópolis,2017-09-13,0.7,0.65,False,,,,,4,0,Central
52,43,Barra Velha,2017-09-13,0.7,0.65,False,,,,,4,0,Central
53,44,Navegantes,2017-09-16,0.7,0.65,True,1.0,1.7599999904632568,0.569371372461319,2017-09-17,4,1,Central-north
54,45,Balneário Barra do Sul,2017-09-18,0.7,0.65,True,-1.0,1.559999942779541,0.6504671424627304,2017-09-17,4,2,North
55,46,Itapema,2017-09-30,0.7,0.65,False,,,,,4,0,Central-north
56,47,Garopaba,2017-10-01,0.7,0.65,False,,,,,4,0,Central-south
57,48,São Francisco do Sul,2017-10-07,0.7,0.65,True,0.0,1.1200000047683716,0.8339086323976517,2017-10-07,4,2,North
58,49,Bombinhas,2017-12-10,0.7,0.65,False,,,,,4,0,Central-north
59,50,São Francisco do Sul,2017-12-11,0.7,0.65,False,,,,,4,0,North
60,51,Araquari,2017-12-17,0.7,0.65,True,1.0,1.5,0.6768755912780762,2017-12-18,4,1,North
61,52,Porto Belo,2018-04-14,0.7,0.65,True,-1.0,1.3299999237060547,0.5338769853115082,2018-04-13,4,3,Central-north
62,53,Itapoá,2018-05-21,0.7,0.65,True,-1.0,1.2599999904632568,0.72031569480896,2018-05-20,4,1,North
63,54,Itapoá,2018-06-15,0.7,0.65,True,-1.0,1.0799999237060547,1.1304882168769836,2018-06-14,4,2,North
64,55,Balneário Barra do Sul,2018-07-07,0.7,0.65,False,,,,,4,0,North
65,56,Balneário Camboriú,2018-09-18,0.7,0.65,False,,,,,4,0,Central-north
66,57,Itapoá,2018-09-19,0.7,0.65,False,,,,,4,0,North
67,58,Itapoá,2018-10-08,0.7,0.65,False,,,,,4,0,North
68,60,Balneário Barra do Sul,2018-12-03,0.7,0.65,True,0.0,1.9399999380111694,0.8145846724510193,2018-12-03,4,1,North
69,61,Balneário Camboriú,2019-03-21,0.7,0.65,True,-2.0,1.8399999141693115,0.5837300084531307,2019-03-19,4,4,Central-north
70,61,Barra Velha,2019-03-22,0.7,0.65,True,-2.0,1.899999976158142,0.9734940230846405,2019-03-20,4,4,Central-north
71,62,Balneário Barra do Sul,2019-03-27,0.7,0.65,False,,,,,4,0,North
72,63,Balneário Barra do Sul,2019-06-13,0.7,0.65,False,,,,,4,0,North
73,64,Itapoá,2019-07-21,0.7,0.65,False,,,,,4,0,North
74,65,Balneário Piçarras,2019-07-22,0.7,0.65,False,,,,,4,0,Central-north
75,66,Balneário Barra do Sul,2019-07-29,0.7,0.65,False,,,,,4,0,North
76,67,Itapoá,2019-08-04,0.7,0.65,True,-2.0,1.7400000095367432,0.9045427590608597,2019-08-02,4,2,North
77,68,São Francisco do Sul,2019-08-15,0.7,0.65,True,-2.0,1.2200000286102295,0.8481352627277374,2019-08-13,4,2,North
78,69,Navegantes,2019-09-19,0.7,0.65,True,-2.0,1.5299999713897705,0.5830119475722313,2019-09-17,4,1,Central-north
79,72,Balneário Camboriú,2020-03-03,0.7,0.65,False,,,,,4,0,Central-north
80,73,Balneário Rincão,2020-04-03,0.7,0.65,True,0.0,4.309999942779541,0.7856495976448059,2020-04-03,4,2,South
81,73,Florianópolis,2020-04-04,0.7,0.65,True,-1.0,2.3399999141693115,0.6392042338848114,2020-04-03,4,3,South
82,73,Porto Belo,2020-04-04,0.7,0.65,True,-1.0,1.3299999237060547,0.6248695850372314,2020-04-03,4,3,South
83,74,Porto Belo,2020-04-08,0.7,0.65,True,-1.0,1.6399999856948853,0.811431348323822,2020-04-07,4,3,Central-north
84,74,Balneário Barra do Sul,2020-04-08,0.7,0.65,True,-2.0,1.3299999237060547,0.7468327432870865,2020-04-06,4,3,Central-north
85,74,Balneário Rincão,2020-04-08,0.7,0.65,True,-2.0,2.309999942779541,0.4703739583492279,2020-04-06,4,4,Central-north
86,75,Itapoá,2020-04-09,0.7,0.65,True,-2.0,1.309999942779541,1.1070118844509125,2020-04-07,4,4,North
87,76,Barra Velha,2020-04-12,0.7,0.65,True,-1.0,1.6699999570846558,0.7492413818836212,2020-04-11,4,1,North
88,77,Balneário Camboriú,2020-05-07,0.7,0.65,True,-1.0,1.6200000047683716,0.7461950033903122,2020-05-06,4,2,Central-north
89,78,Bombinhas,2020-06-30,0.7,0.65,False,,,,,4,0,Central-north
90,79,Balneário Barra do Sul,2020-06-30,0.7,0.65,False,,,,,4,0,North
0,1,São Francisco do Sul,1998-02-15,0.7,0.7,False,,,,,4,0,North
1,2,Balneário Piçarras,1998-09-19,0.7,0.7,True,0.0,2.0899999141693115,0.8253957033157349,1998-09-19,4,2,Central-north
2,3,Itapoá,2000-08-10,0.7,0.7,True,1.0,1.2699999809265137,0.7755574584007263,2000-08-11,4,1,North
3,4,Balneário Camboriú,2001-05-05,0.7,0.7,True,0.0,1.5499999523162842,0.8199690878391266,2001-05-05,4,2,Central-north
4,4,Itapoá,2001-05-05,0.7,0.7,True,-1.0,1.159999966621399,0.9036467671394348,2001-05-04,4,3,Central-north
5,5,Bombinhas,2001-05-06,0.7,0.7,True,-2.0,1.3399999141693115,0.6966710090637207,2001-05-04,4,4,Central-north
6,5,Navegantes,2001-05-06,0.7,0.7,True,-1.0,1.5499999523162842,0.8199690878391266,2001-05-05,4,3,Central-north
7,5,Balneário Barra do Sul,2001-05-06,0.7,0.7,True,-2.0,1.4399999380111694,0.826180100440979,2001-05-04,4,4,Central-north
8,5,Barra Velha,2001-05-06,0.7,0.7,True,-2.0,1.4399999380111694,0.826180100440979,2001-05-04,4,4,Central-north
9,6,Barra Velha,2001-05-22,0.7,0.7,True,1.0,1.8499999046325684,0.7096967771649361,2001-05-23,4,1,North
10,7,Balneário Camboriú,2002-09-21,0.7,0.7,True,0.0,2.8899998664855957,0.7612097263336182,2002-09-21,4,1,Central-north
11,8,Içara/Balneário Rincão,2004-03-27,0.7,0.7,False,,,,,4,0,South
12,9,Florianópolis,2004-03-28,0.7,0.7,False,,,,,4,0,Central
13,9,Araranguá,2004-03-28,0.7,0.7,False,,,,,4,0,Central
14,9,Balneário Arroio do Silva,2004-03-28,0.7,0.7,False,,,,,4,0,Central
15,9,Balneário Gaivota,2004-03-28,0.7,0.7,False,,,,,4,0,Central
16,9,Passo de Torres,2004-03-28,0.7,0.7,False,,,,,4,0,Central
17,10,Itajaí,2005-08-08,0.7,0.7,True,0.0,1.8199999332427979,0.6696929037570953,2005-08-08,4,2,Central-north
18,11,Palhoça,2005-08-09,0.7,0.7,True,-1.0,1.9299999475479126,0.5696218609809875,2005-08-08,4,3,Central
19,11,Bombinhas,2005-08-09,0.7,0.7,True,-1.0,1.709999918937683,0.6508776694536209,2005-08-08,4,2,Central
20,11,Barra Velha,2005-08-09,0.7,0.7,True,-1.0,1.6200000047683716,0.7892888188362122,2005-08-08,4,3,Central
21,12,Itajaí,2006-04-24,0.7,0.7,False,,,,,4,0,Central-north
22,14,Florianópolis,2010-05-13,0.7,0.7,False,,,,,4,0,Central
23,14,Barra Velha,2010-05-13,0.7,0.7,True,0.0,2.2300000190734863,0.6631213575601578,2010-05-13,4,2,Central
24,15,Balneário Barra do Sul,2010-05-28,0.7,0.7,True,-1.0,1.75,0.7416976243257523,2010-05-27,4,2,North
25,16,Navegantes,2010-06-01,0.7,0.7,True,0.0,1.659999966621399,0.6876413226127625,2010-06-01,4,1,Central-north
26,17,Garopaba,2010-06-09,0.7,0.7,False,,,,,4,0,South
27,18,Florianópolis,2010-06-24,0.7,0.7,False,,,,,4,0,Central
28,19,Florianópolis,2010-07-16,0.7,0.7,True,1.0,1.6799999475479126,0.5074675381183624,2010-07-17,4,1,Central
29,20,Balneário Piçarras,2010-09-23,0.7,0.7,True,0.0,1.5199999809265137,0.6496991198509932,2010-09-23,4,2,Central-north
30,21,Bombinhas,2010-09-28,0.7,0.7,False,,,,,4,0,Central-north
31,24,Balneário Piçarras,2011-01-23,0.7,0.7,False,,,,,4,0,Central-north
32,25,Navegantes,2011-05-03,0.7,0.7,True,0.0,1.7400000095367432,0.9249342083930969,2011-05-03,4,2,Central-north
33,26,Barra Velha,2011-05-29,0.7,0.7,False,,,,,4,0,North
34,27,Penha,2011-06-04,0.7,0.7,True,0.0,1.459999918937683,0.8954178690910339,2011-06-04,4,2,Central-north
35,28,Balneário Barra do Sul,2012-01-27,0.7,0.7,True,-1.0,1.7799999713897705,0.7958666682243347,2012-01-26,4,2,North
36,29,Balneário Barra do Sul,2015-07-27,0.7,0.7,False,,,,,4,0,North
37,30,Balneário Barra do Sul,2015-08-18,0.7,0.7,True,-2.0,1.3700000047683716,0.6975406929850578,2015-08-16,4,1,North
38,31,Balneário Barra do Sul,2016-07-01,0.7,0.7,False,,,,,4,0,North
39,32,Florianópolis,2016-09-15,0.7,0.7,True,-1.0,1.7699999809265137,0.49064844846725464,2016-09-14,4,3,Central
40,32,Porto Belo,2016-09-15,0.7,0.7,True,-1.0,1.5399999618530273,0.565626434981823,2016-09-14,4,2,Central
41,34,Balneário Barra do Sul,2016-12-12,0.7,0.7,False,,,,,4,0,North
42,35,Balneário Barra do Sul,2017-03-25,0.7,0.7,False,,,,,4,0,North
43,36,Balneário Barra do Sul,2017-05-02,0.7,0.7,False,,,,,4,0,North
44,37,Balneário Barra do Sul,2017-05-21,0.7,0.7,False,,,,,4,0,North
45,38,Florianópolis,2017-05-22,0.7,0.7,False,,,,,4,0,Central
46,38,Barra Velha,2017-05-22,0.7,0.7,True,1.0,2.1599998474121094,0.6982354819774628,2017-05-23,4,1,Central
47,39,Itapoá,2017-08-15,0.7,0.7,False,,,,,4,0,North
48,40,Balneário Barra do Sul,2017-08-26,0.7,0.7,False,,,,,4,0,North
49,41,Navegantes,2017-09-07,0.7,0.7,True,-2.0,1.9399999380111694,0.6348292976617813,2017-09-05,4,2,Central-north
50,42,Balneário Barra do Sul,2017-09-09,0.7,0.7,False,,,,,4,0,North
51,43,Florianópolis,2017-09-13,0.7,0.7,False,,,,,4,0,Central
52,43,Barra Velha,2017-09-13,0.7,0.7,False,,,,,4,0,Central
53,44,Navegantes,2017-09-16,0.7,0.7,True,1.0,1.7599999904632568,0.569371372461319,2017-09-17,4,1,Central-north
54,45,Balneário Barra do Sul,2017-09-18,0.7,0.7,True,-1.0,1.559999942779541,0.6504671424627304,2017-09-17,4,2,North
55,46,Itapema,2017-09-30,0.7,0.7,False,,,,,4,0,Central-north
56,47,Garopaba,2017-10-01,0.7,0.7,False,,,,,4,0,Central-south
57,48,São Francisco do Sul,2017-10-07,0.7,0.7,True,0.0,1.1200000047683716,0.8339086323976517,2017-10-07,4,2,North
58,49,Bombinhas,2017-12-10,0.7,0.7,False,,,,,4,0,Central-north
59,50,São Francisco do Sul,2017-12-11,0.7,0.7,False,,,,,4,0,North
60,51,Araquari,2017-12-17,0.7,0.7,True,1.0,1.5,0.6768755912780762,2017-12-18,4,1,North
61,52,Porto Belo,2018-04-14,0.7,0.7,True,-1.0,1.3299999237060547,0.5338769853115082,2018-04-13,4,3,Central-north
62,53,Itapoá,2018-05-21,0.7,0.7,False,,,,,4,0,North
63,54,Itapoá,2018-06-15,0.7,0.7,True,-1.0,1.0799999237060547,1.1304882168769836,2018-06-14,4,2,North
64,55,Balneário Barra do Sul,2018-07-07,0.7,0.7,False,,,,,4,0,North
65,56,Balneário Camboriú,2018-09-18,0.7,0.7,False,,,,,4,0,Central-north
66,57,Itapoá,2018-09-19,0.7,0.7,False,,,,,4,0,North
67,58,Itapoá,2018-10-08,0.7,0.7,False,,,,,4,0,North
68,60,Balneário Barra do Sul,2018-12-03,0.7,0.7,True,0.0,1.9399999380111694,0.8145846724510193,2018-12-03,4,1,North
69,61,Balneário Camboriú,2019-03-21,0.7,0.7,True,-2.0,1.8399999141693115,0.5837300084531307,2019-03-19,4,4,Central-north
70,61,Barra Velha,2019-03-22,0.7,0.7,True,-2.0,1.899999976158142,0.9734940230846405,2019-03-20,4,4,Central-north
71,62,Balneário Barra do Sul,2019-03-27,0.7,0.7,False,,,,,4,0,North
72,63,Balneário Barra do Sul,2019-06-13,0.7,0.7,False,,,,,4,0,North
73,64,Itapoá,2019-07-21,0.7,0.7,False,,,,,4,0,North
74,65,Balneário Piçarras,2019-07-22,0.7,0.7,False,,,,,4,0,Central-north
75,66,Balneário Barra do Sul,2019-07-29,0.7,0.7,False,,,,,4,0,North
76,67,Itapoá,2019-08-04,0.7,0.7,True,-2.0,1.7400000095367432,0.9045427590608597,2019-08-02,4,2,North
77,68,São Francisco do Sul,2019-08-15,0.7,0.7,True,-2.0,1.2200000286102295,0.8481352627277374,2019-08-13,4,2,North
78,69,Navegantes,2019-09-19,0.7,0.7,True,-2.0,1.5299999713897705,0.5830119475722313,2019-09-17,4,1,Central-north
79,72,Balneário Camboriú,2020-03-03,0.7,0.7,False,,,,,4,0,Central-north
80,73,Balneário Rincão,2020-04-03,0.7,0.7,True,0.0,4.309999942779541,0.7856495976448059,2020-04-03,4,2,South
